Ldi|date/time conversion
gslcsq_get_prop_values|DBMS_LDAP_API_FFI.ORA_LDAP_GET_PROP_VALUES
gslcsq_get_prop_values_blob|DBMS_LDAP_API_FFI.ORA_LDAP_GET_PROP_VALUES_BLOB
gslcsq_get_prop_values_len|DBMS_LDAP_API_FFI.ORA_LDAP_GET_PROP_VALUES_LEN
gslcsq_get_scribed_srvs|DBMS_LDAP_API_FFI.ORA_LDAP_GET_SCRIBED_SRVS
gslcsq_get_scribed_users|DBMS_LDAP_API_FFI.ORA_LDAP_GET_SCRIBED_USERS
gslcsq_get_session_info|DBMS_LDAP_API_FFI.LDAP_GET_SESSION_INFO
gslcsq_get_sub_dn|DBMS_LDAP_API_FFI.ORA_LDAP_GET_SUB_DN
gslcsq_get_sub_ext_props|DBMS_LDAP_API_FFI.ORA_LDAP_GET_SUB_EXT_PROPS
gslcsq_get_sub_props|DBMS_LDAP_API_FFI.ORA_LDAP_GET_SUB_PROPS
gslcsq_get_tracelvl|DBMS_LDAP_API_FFI.LDAP_GET_TRACE_LEVEL
gslcsq_get_user_dn|DBMS_LDAP_API_FFI.ORA_LDAP_GET_USER_DN
gslcsq_get_user_ext_props|DBMS_LDAP_API_FFI.ORA_LDAP_GET_USER_EXT_PROPS
gslcsq_get_user_props|DBMS_LDAP_API_FFI.ORA_LDAP_GET_USER_PROPS
gslcsq_get_user_props_and_auth|DBMS_LDAP_API_FFI.ORA_LDAP_GET_USER_PROPS_AUTH
gslcsq_get_values|DBMS_LDAP_API_FFI.LDAP_GET_VALUES
gslcsq_get_values_blob|DBMS_LDAP_API_FFI.LDAP_GET_VALUES_BLOB
gslcsq_get_values_len|DBMS_LDAP_API_FFI.LDAP_GET_VALUES_LEN
gslcsq_init|DBMS_LDAP_API_FFI.LDAP_INIT
gslcsq_locate_sub_for_user|DBMS_LDAP_API_FFI.ORA_LDAP_LOCATE_SUB_FOR_USER
gslcsq_memfree|DBMS_LDAP_API_FFI.LDAP_MEMFREE
gslcsq_modify_s|DBMS_LDAP_API_FFI.LDAP_MODIFY_S
gslcsq_modrdn2_s|DBMS_LDAP_API_FFI.LDAP_MODRDN2_S
gslcsq_msgfree|DBMS_LDAP_API_FFI.LDAP_MSGFREE
gslcsq_next_entry|DBMS_LDAP_API_FFI.LDAP_NEXT_ENTRY
gslcsq_next_attr|DBMS_LDAP_API_FFI.LDAP_NEXT_ATTRIBUTE
gslcsq_norm_dn_with_case|DBMS_LDAP_API_FFI.ORA_LDAP_NORM_DN_WITH_CASE
gslcsq_open_ssl|DBMS_LDAP_API_FFI.LDAP_OPEN_SSL
gslcsq_populate_mod_array|DBMS_LDAP_API_FFI.POPULATE_MOD_ARRAY
gslcsq_populate_mod_array_blob|DBMS_LDAP_API_FFI.POPULATE_MOD_ARRAY
gslcsq_populate_mod_pset|DBMS_LDAP_API_FFI.ORA_LDAP_POPULATE_MOD_PSET
gslcsq_rename_s|DBMS_LDAP_API_FFI.LDAP_RENAME_S
gslcsq_scribe_user|DBMS_LDAP_API_FFI.ORA_LDAP_SCRIBE_USER
gslcsq_search_s|DBMS_LDAP_API_FFI.LDAP_SEARCH_S
gslcsq_search_st|DBMS_LDAP_API_FFI.LDAP_SEARCH_ST
gslcsq_set_grp_handle_props|DBMS_LDAP_API_FFI.ORA_LDAP_SET_GRP_HANDLE_PROPS
gslcsq_set_tracelvl|DBMS_LDAP_API_FFI.LDAP_SET_TRACE_LEVEL
gslcsq_set_user_handle_props|DBMS_LDAP_API_FFI.ORA_LDAP_SET_USER_HANDLE_PROPS
gslcsq_set_user_props|DBMS_LDAP_API_FFI.ORA_LDAP_SET_USER_PROPS
gslcsq_simple_bind_s|DBMS_LDAP_API_FFI.LDAP_SIMPLE_BIND_S
gslcsq_unbind_s|DBMS_LDAP_API_FFI.LDAP_UNBIND_S
gslcsq_unscribe_user|DBMS_LDAP_API_FFI.ORA_LDAP_UNSCRIBE_USER
gslcsq_value_free_blob|DBMS_LDAP_API_FFI.VALUE_FREE_BLOB
gwm|global service manager (GSM)
gwm_db_info|DBMS_GSM_FIX.GWM_DB_INFO
gwm_call_schagent|DBMS_GSM_FIX.GWM_CALL_SCHAGENT
gwm_trace_output|DBMS_GSM_FIX.GWM_TRACE_OUTPUT
gwm_validate_db|DBMS_GSM_FIX.GWM_VALIDATE_DB
hep|PLSQL_KG_Interface
hcsOdboClosePCo|DBMS_MDX_ODBO.CLOSE_CALLOUT
hcsOdboConvertFormatStringPCo|DBMS_MDX_ODBO.EXECUTE_CONVERT_FMT_STR
hcsOdboExecutePCo|DBMS_MDX_ODBO.EXECUTE_CALLOUT
hcsOdboGetAxisDataPCo|DBMS_MDX_ODBO.GET_AXIS_DATA_CALLOUT
hcsOdboGetCellDataPCo|DBMS_MDX_ODBO.GET_CELL_DATA_CALLOUT
hcsOdboGetKeywordsPCo|DBMS_MDX_ODBO.GET_MDX_KEYWORD_NAMES_CALLOUT
hcsOdboGetMbrRowsetPCo|DBMS_MDX_ODBO.GET_MEMBERS_ROWSET
hcsOdboGetPropertyValuesPCo|DBMS_MDX_ODBO.GET_MDX_PROP_VALUES_CALLOUT
hcsOdboGetXFunctionsPCo|DBMS_MDX_ODBO.GET_MDX_FUNCTION_NAMES_CALLOUT
hcsOdboLogCloseSchemaRowsetPCo|DBMS_MDX_ODBO.LOG_CLOSE_SCHEMA_ROWSET
hcsOdboLogSchemaRowsetPCo|DBMS_MDX_ODBO.LOG_SCHEMA_ROWSET
hcsOdboMdxComponentIdPCo|DBMS_MDX_ODBO.EXECUTE_MDX_COMPONENT_ID
hsh|PLSQL_KG_Interface
ins|insert
insdlexe|direct load execute
insexe|execute
insidx|Insert indexed keys into the indexes after each row is inserted into the table
insini|initialisation
insrow|Fetch a row for insertion. This is called back by multirow insert
ipc|inter process calls
ipclw|lightweight (exafusion)
ipp|internal probe processor capabilities(?)
jox|java compiler/runtime
joxas|dbms_xa
joxas_end|DBMS_XA.INTERNAL_JOXAS_END XA_END
joxas_commit|DBMS_XA.INTERNAL_JOXAS_COMMIT XA_COMMIT
joxas_forget|DBMS_XA.INTERNAL_JOXAS_FORGET XA_FORGET
joxas_getlastoer|DBMS_XA.INTERNAL_JOXAS_GETLASTOER XA_GETLASTOER
joxas_prepare|DBMS_XA.INTERNAL_JOXAS_PREPARE XA_PREPARE
joxas_rollback|DBMS_XA.INTERNAL_JOXAS_ROLLBACK XA_ROLLBACK
joxas_settimeout|DBMS_XA.INTERNAL_JOXAS_SETTMO XA_SETTIMEOUT
joxas_start|DBMS_XA.INTERNAL_JOXAS_START XA_START
jsaAddAgentCert|DBMS_ISCHED.ADD_AGENT_CERT
jsaAddEvtQSub|DBMS_ISCHED.ADD_EVENT_QUEUE_SUBSCRIBER
jsaAddGroupMember|DBMS_ISCHED.ADD_GROUP_MEMBER
jsaAddMemberWgr|DBMS_ISCHED.ADD_WINDOW_GROUP_MEMBER
jsaAlterChn|DBMS_ISCHED.ALTER_CHAIN
jsaAlterStepChn|DBMS_ISCHED.ALTER_CHAIN_STEP
jsaAssArgJob|DBMS_ISCHED.SET_JOB_ARGUMENT_VALUE
jsaAuditSysPriv|DBMS_ISCHED.AUDIT_SYS_PRIV
jsaCheckObjectPrivs|DBMS_ISCHED_UTL.CHECK_OBJECT_PRIVS
jsaCheckPurge|DBMS_ISCHED.CHECK_PURGE
jsaCloseWin|DBMS_ISCHED.CLOSE_WINDOW
jsaCompleteJobRun|DBMS_ISCHED.COMPLETE_JOB_RUN
jsaCopyJob|DBMS_ISCHED.COPY_JOB
jsaCreateAgentDestination|DBMS_ISCHED.CREATE_AGENT_DESTINATION
jsaCreateCls|DBMS_ISCHED.CREATE_JOB_CLASS
jsaCreateDatabaseDestination|DBMS_ISCHED.CREATE_DATABASE_DESTINATION
jsaCreateFileWatch|DBMS_ISCHED.CREATE_FILE_WATCH
jsaCreateJob|DBMS_ISCHED.CREATE_JOB
jsaCreateJobStep|DBMS_ISCHED.CREATE_CHAIN_STEP
jsaCreateGroup|DBMS_ISCHED.CREATE_GROUP
jsaCreatePrg|DBMS_ISCHED.CREATE_PROGRAM
jsaCreateResource|DBMS_ISCHED.CREATE_RESOURCE
jsaCreateSch|DBMS_ISCHED.CREATE_SCHEDULE
jsaCreateWalletDir|DBMS_ISCHED.CREATE_WALLET_DIR_CALLOUT
jsaCreateWin|DBMS_ISCHED.CREATE_WINDOW
jsaDisable|DBMS_ISCHED.DISABLE
jsaDropAgentDestination|DBMS_ISCHED.DROP_AGENT_DESTINATION
jsaDropArgJob|DBMS_ISCHED.RESET_JOB_ARGUMENT_VALUE
jsaDropArgPrg|DBMS_ISCHED.DROP_PROGRAM_ARGUMENT
jsaDropCls|DBMS_ISCHED.DROP_JOB_CLASS
jsaDropDatabaseDestination|DBMS_ISCHED.DROP_DATABASE_DESTINATION
jsaDropFileWatch|DBMS_ISCHED.DROP_FILE_WATCHER
jsaDropGlobalAttrib|DBMS_ISCHED.DROP_SCHEDULER_ATTRIBUTE
jsaDropGroup|DBMS_ISCHED.DROP_GROUP
jsaDropJob|DBMS_ISCHED.DROP_JOB
jsaDropPrg|DBMS_ISCHED.DROP_PROGRAM
jsaDropResource|DBMS_ISCHED.DROP_RESOURCE
jsaDropSch|DBMS_ISCHED.DROP_SCHEDULE
jsaDropWgr|DBMS_ISCHED.DROP_WINDOW_GROUP
jsaDropWin|DBMS_ISCHED.DROP_WINDOW
jsaEnable|DBMS_ISCHED.ENABLE
jsaEnqEndChainJob|DBMS_ISCHED.ENQ_END_CHAIN_JOB
jsaFileTransfer|DBMS_ISCHED.FILE_TRANSFER
jsaGenAgentPassSalt|DBMS_ISCHED.GEN_AGENT_PASS_SALT
jsaGetAgentPassVer|DBMS_ISCHED.GET_AGENT_PASS_VERIFIER
jsaGetBoolAttrib|DBMS_ISCHED.GET_BOOL_ATTRIBUTE
jsaGetCharAttrib|DBMS_ISCHED.GET_CHAR_ATTRIBUTE
jsaGetCredPass|DBMS_ISCHED.GET_CREDENTIAL_PASSWORD
jsaGetDateAttrib|DBMS_ISCHED.GET_DATE_ATTRIBUTE
jsaGetGlobalAttrib|DBMS_ISCHED.GET_SCHEDULER_ATTRIBUTE
jsaGetIntAttrib|DBMS_ISCHED.GET_INT_ATTRIBUTE
jsaGetInterAttrib|DBMS_ISCHED.GET_INTERVAL_ATTRIBUTE
jsaGetTns|DBMS_ISCHED.GET_TNS_NVPAIR
jsaObfCredPass|DBMS_ISCHED.OBFUSCATE_CREDENTIAL_PASSWORD
jsaOpenWin|DBMS_ISCHED.OPEN_WINDOW
jsaNotifyServiceMetricsUpdate|DBMS_ISCHED.NTFY_SVC_METRICS_UPDT
jsaRaiseError|DBMS_ISCHED.RAISE_ORACLE_ERROR
jsaRegArgPrg|DBMS_ISCHED.DEFINE_PROGRAM_ARGUMENT
jsaRegisterCallback|DBMS_ISCHED.REGISTER_CALLBACK
jsaRemEvtQSub|DBMS_ISCHED.REMOVE_EVENT_QUEUE_SUBSCRIBER
jsaRemoveMemberWgr|DBMS_ISCHED.REMOVE_WINDOW_GROUP_MEMBER
jsaRemoveGroupMember|DBMS_ISCHED.REMOVE_GROUP_MEMBER
jsaRunJob|DBMS_ISCHED.RUN_JOB
jsaSetAgentPass|DBMS_ISCHED.SET_AGENT_REGISTRATION
jsaSetBoolAttrib|DBMS_ISCHED.SET_BOOL_ATTRIBUTE
jsaSetCharAttrib|DBMS_ISCHED.SET_CHAR_ATTRIBUTE
jsaSetDateAttrib|DBMS_ISCHED.SET_DATE_ATTRIBUTE
jsaSetGlobalAttrib|DBMS_ISCHED.SET_SCHEDULER_ATTRIBUTE
jsaSetIntAttrib|DBMS_ISCHED.SET_INT_ATTRIBUTE
jsaSetInterAttrib|DBMS_ISCHED.SET_INTERVAL_ATTRIBUTE
jsaSetListAttrib|DBMS_ISCHED.SET_LIST_ATTRIBUTE
jsaSetResourceConstraint|DBMS_ISCHED.SET_RESOURCE_CONSTRAINT
jsaStopJob|DBMS_ISCHED.STOP_JOB
jsaTime|DBMS_ISCHED.STIME
jsaTranslateJssuErrorCode|DBMS_IJOB.TRANSLATE_JSSU_ERROR_CODE
jsaValidateLocalCred|DBMS_ISCHED.CHECK_LOCAL_CREDENTIAL
jsbaBatchJobOps|DBMS_ISCHED.BATCH_JOB_OPS
jsbaCreateJobs|DBMS_ISCHED.CREATE_JOBS
jsbaSetJobAttribs|DBMS_ISCHED.SET_JOB_ATTRIBUTES
jsbaShowErrors|DBMS_ISCHED.SHOW_ERRORS
jskeCheckAQCbkPrivs|DBMS_ISCHED.CHECK_AQ_CBK_PRIVS
jskeCheckReqPrivs|DBMS_ISCHED.CHECK_REQUEST_PRIVS
jskeEventCondFilter|DBMS_ISCHED.EVENT_COND_FILTER
jskeFileWatchFilter|DBMS_ISCHED.FILE_WATCH_FILTER
jskeGetSchLimMsgid|DBMS_ISCHED.RAISE_SCHLIM_EVT
jskeGetLastFWRun|DBMS_ISCHED.GET_LAST_RUN_TIME
jskeRecResendReq|DBMS_ISCHED.RECORD_RESENT_REQUEST
jskeSetEvtMsgArg|DBMS_ISCHED.SET_EVTMSG_ARG
jskeSetLastFWRun|DBMS_ISCHED.SET_LAST_RUN_TIME
jsxsExecPrePostApply|DBMS_ISCHED.EXEC_JOB_RUN_LSA
jsxsGetSysTimeZoneName|DBMS_ISCHED.GET_SYS_TIME_ZONE_NAME
k|kernel
k2|distributed execution
k2c|kernel to kernel 
k2d|global unique database id
k2g|global transction id
k2gcrt|create a distributed transaction
k2gihash|calculate a hash value from a global transaction id
k2glpr|print local tran id
k2gt|commit global transaction
k2i|indoubt table interface
k2l|log records and log interface
k2labo|abort session: first abort aborts tx
k2lcom|commit session, first commit commits tx
k2r|multiple RPC
k2s|server
k2serv|service a transaction manager RPC
k2udio|message unmarshalling
k2v|recovery
ka|access
kad|objects anydata/images
kaf|fetch
kau|perform inserts, updates, deletes modifying indexes on tables
kaudel|delete row from table and modify indexes (?)
kauupd|update table and modify indexes
